athlete_id,name,gender,classification,primary_event,secondary_event,dob,height_cm,weight_kg,years_on_team,guide_runner_required,injury_status,availability_status,coach,region,development_stage
A0198,Tebogo Ranku 198,Male,T11,100m,200m,2000-11-30,158,73,2,True,Recovering,Available,Coach Dube,Francistown,Elite
A0199,Onkabetse Mogae 199,Male,T13,400m,200m,2001-03-21,171,69,2,False,Healthy,Available,Coach Molefe,Gaborone,National
A0200,Kagiso Rammidi 200,Male,T11,400m,1500m,1993-05-23,183,74,1,True,Recovering,Available,Coach Pule,Maun,National
A0201,Lesego Moroka 201,Male,T11,400m,100m,2002-02-02,170,72,7,True,Healthy,Available,Coach Modise,Selebi-Phikwe,National
A0202,Tebogo Basinyi 202,Male,T11,100m,400m,2005-03-01,159,68,3,True,Healthy,Available,Coach Ranku,Maun,Emerging
A0203,Bakang Bantsi 203,Male,T13,200m,100m,2000-09-28,172,50,4,False,Monitoring,Available,Coach Ranku,Gaborone,Emerging
A0204,Neo Rammidi 204,Male,T11,200m,400m,1998-07-09,181,58,7,True,Recovering,Available,Coach Basinyi,Selebi-Phikwe,Emerging
A0205,Oarabile Molefe 205,Male,T12,100m,200m,2004-06-03,176,61,4,False,Monitoring,Available,Coach Kgamanyane,Maun,National
A0206,Neo Ranku 206,Male,T11,400m,800m,1997-06-03,178,76,3,True,Healthy,Available,Coach Motswana,Selebi-Phikwe,Elite
A0207,Karabo Basinyi 207,Male,T13,800m,200m,1996-11-08,164,51,7,False,Monitoring,Available,Coach Pule,Maun,National
A0208,Tiro Kgamanyane 208,Male,T11,200m,400m,1997-11-06,169,72,8,True,Recovering,Unavailable,Coach Pule,Lobatse,Podium Track
A0209,Lebo Kgamanyane 209,Male,T11,400m,100m,1998-01-24,168,59,7,True,Healthy,Available,Coach Motswana,Maun,National
A0210,Kabelo Motsepe 210,Male,T13,400m,200m,2006-11-12,174,42,2,False,Healthy,Available,Coach Basinyi,Serowe,National
A0211,Lebo Mokalake 211,Male,T11,400m,100m,1994-10-30,165,52,7,True,Healthy,Available,Coach Ranku,Serowe,Emerging
A0212,Tshepo Bantsi 212,Male,T11,200m,800m,1992-07-25,173,58,8,True,Healthy,Unavailable,Coach Modise,Maun,Elite
A0213,Kagiso Moroka 213,Male,T12,100m,400m,1992-11-23,162,61,3,True,Monitoring,Available,Coach Kgamanyane,Francistown,Elite
A0214,Oarabile Motsumi 214,Male,T12,400m,200m,2003-03-02,159,64,9,True,Healthy,Restricted,Coach Basinyi,Gaborone,National
A0215,Kagiso Mokalake 215,Male,T13,800m,100m,2007-04-11,165,61,2,False,Healthy,Monitor,Coach Pule,Serowe,Podium Track
A0216,Katlego Rammidi 216,Male,T12,400m,200m,2001-07-05,165,73,8,True,Healthy,Available,Coach Ranku,Selebi-Phikwe,Emerging
A0217,Tebogo Kgamanyane 217,Male,T12,200m,400m,2007-10-05,170,69,9,True,Healthy,Available,Coach Motswana,Serowe,National
A0218,Neo Bantsi 218,Male,T11,100m,800m,1994-01-28,174,57,4,True,Healthy,Available,Coach Ranku,Molepolole,National
A0219,Tiro Pule 219,Male,T13,100m,1500m,2006-05-17,175,68,6,False,Healthy,Available,Coach Motswana,Selebi-Phikwe,Emerging
A0220,Neo Molefe 220,Male,T12,100m,1500m,2006-12-13,173,61,3,True,Recovering,Unavailable,Coach Modise,Serowe,Elite
A0221,Thato Mosinyi 221,Male,T13,100m,1500m,1993-05-09,167,72,5,False,Healthy,Available,Coach Kgamanyane,Lobatse,Emerging
A0222,Kagiso Moroka 222,Male,T12,200m,800m,1993-01-08,188,57,1,False,Monitoring,Unavailable,Coach Ranku,Gaborone,Emerging
A0223,Goitseone Bantsi 223,Male,T11,200m,1500m,2004-03-06,175,61,6,True,Healthy,Available,Coach Molefe,Molepolole,National
A0224,Tumelo Bantsi 224,Male,T13,100m,200m,2000-11-12,177,68,3,False,Healthy,Available,Coach Motswana,Gaborone,Emerging
A0225,Tumelo Molefe 225,Male,T12,400m,800m,2004-05-11,179,42,6,False,Healthy,Available,Coach Dube,Gaborone,National
A0226,Oarabile Motsumi 226,Male,T13,200m,1500m,1998-09-20,166,56,2,False,Healthy,Available,Coach Motswana,Francistown,Elite
A0227,Karabo Motsepe 227,Male,T11,100m,1500m,1996-11-23,170,58,6,True,Healthy,Available,Coach Modise,Francistown,National
A0228,Tumelo Rammidi 228,Male,T13,200m,1500m,1993-05-28,165,71,8,False,Healthy,Available,Coach Motswana,Molepolole,Elite
A0229,Onkabetse Motsepe 229,Male,T12,200m,800m,2004-03-03,186,42,6,False,Recovering,Available,Coach Motswana,Lobatse,National
A0230,Mpho Motsumi 230,Male,T13,200m,800m,2001-06-11,168,67,6,False,Monitoring,Available,Coach Motswana,Maun,National
A0231,Goitseone Lelaka 231,Male,T13,100m,1500m,1995-04-18,171,61,6,False,Recovering,Available,Coach Modise,Maun,National
A0232,Lebo Pule 232,Male,T12,200m,100m,1996-07-19,160,56,9,False,Healthy,Available,Coach Kgamanyane,Molepolole,Emerging
A0233,Kagiso Kgamanyane 233,Male,T12,100m,1500m,2004-02-20,176,74,2,False,Recovering,Restricted,Coach Molefe,Serowe,Emerging
A0234,Bakang Rammidi 234,Male,T13,100m,200m,2008-03-08,171,57,9,False,Healthy,Available,Coach Modise,Selebi-Phikwe,National
A0235,Onkabetse Kgamanyane 235,Male,T12,800m,200m,2001-01-25,171,62,4,False,Healthy,Available,Coach Dube,Molepolole,National
A0236,Thato Basinyi 236,Male,T12,400m,1500m,1996-07-09,175,66,2,True,Healthy,Available,Coach Basinyi,Serowe,Elite
A0237,Kabelo Bantsi 237,Male,T11,200m,800m,1992-12-22,166,66,6,True,Healthy,Available,Coach Basinyi,Serowe,Elite
A0238,Kagiso Motsumi 238,Male,T13,400m,800m,2007-07-25,161,72,8,False,Healthy,Monitor,Coach Ranku,Gaborone,National
A0239,Kabelo Mogae 239,Male,T11,800m,200m,1998-07-03,180,54,7,True,Healthy,Available,Coach Kgamanyane,Selebi-Phikwe,Emerging
A0240,Lesego Basinyi 240,Male,T11,200m,400m,2002-11-08,174,56,1,True,Healthy,Available,Coach Modise,Serowe,National
A0241,Tiro Moroka 241,Male,T13,200m,400m,2005-09-13,179,73,9,False,Healthy,Available,Coach Pule,Maun,Elite
A0242,Tshepo Motsumi 242,Male,T11,800m,1500m,2002-07-04,169,73,7,True,Healthy,Available,Coach Basinyi,Selebi-Phikwe,National
A0243,Tiro Molefe 243,Male,T11,100m,200m,2008-04-21,167,59,3,True,Healthy,Available,Coach Molefe,Selebi-Phikwe,National
A0244,Lesego Mogapi 244,Male,T12,400m,200m,2004-07-28,166,63,2,True,Healthy,Monitor,Coach Molefe,Maun,Podium Track
A0245,Tumelo Pule 245,Male,T13,1500m,100m,1999-08-29,168,66,6,False,Recovering,Monitor,Coach Pule,Maun,National
A0246,Keabetswe Motsepe 246,Male,T12,400m,800m,2003-04-19,166,71,6,False,Healthy,Monitor,Coach Basinyi,Francistown,Elite
A0247,Tshepo Kgamanyane 247,Male,T11,800m,1500m,2000-11-18,179,60,5,True,Healthy,Available,Coach Motswana,Maun,National
A0248,Tumelo Bantsi 248,Male,T13,400m,800m,1996-04-07,159,71,2,False,Recovering,Available,Coach Basinyi,Lobatse,Emerging
A0249,Katlego Ranku 249,Male,T13,1500m,800m,1995-12-06,180,63,5,False,Healthy,Available,Coach Motswana,Molepolole,National
A0250,Lesego Pule 250,Male,T13,100m,1500m,2005-07-09,160,67,5,False,Recovering,Available,Coach Pule,Francistown,National
A0251,Tebogo Dube 251,Male,T12,100m,800m,1998-01-26,183,48,9,True,Healthy,Available,Coach Dube,Francistown,Elite
A0252,Goitseone Molefe 252,Male,T13,100m,1500m,2007-03-25,174,62,6,False,Healthy,Available,Coach Modise,Serowe,National
A0253,Tebogo Rammidi 253,Male,T12,200m,1500m,2002-05-23,164,69,1,False,Healthy,Restricted,Coach Basinyi,Gaborone,Podium Track
A0254,Bakang Molefe 254,Male,T11,100m,400m,1994-01-06,160,67,6,True,Healthy,Available,Coach Motswana,Molepolole,Emerging
A0255,Goitseone Pule 255,Male,T13,100m,1500m,2006-07-08,181,66,5,False,Recovering,Unavailable,Coach Ranku,Selebi-Phikwe,Elite
A0256,Lesego Mogapi 256,Male,T12,1500m,200m,1994-03-28,163,48,6,False,Healthy,Unavailable,Coach Pule,Lobatse,Emerging
A0257,Mpho Lelaka 257,Male,T12,100m,400m,2005-08-04,160,48,6,True,Healthy,Restricted,Coach Motswana,Selebi-Phikwe,National
A0258,Kabelo Mogapi 258,Male,T13,100m,1500m,1999-09-20,183,62,7,False,Monitoring,Available,Coach Dube,Gaborone,Emerging
A0259,Kabelo Rammidi 259,Male,T13,800m,400m,2004-08-26,162,53,7,False,Monitoring,Restricted,Coach Modise,Molepolole,Emerging
A0260,Neo Lelaka 260,Male,T11,100m,1500m,1999-12-12,162,61,4,True,Healthy,Monitor,Coach Kgamanyane,Maun,Emerging
A0261,Tiro Kgamanyane 261,Male,T13,800m,1500m,1997-12-29,160,80,3,False,Healthy,Available,Coach Basinyi,Gaborone,Elite
A0262,Tiro Pule 262,Male,T11,400m,1500m,1993-03-03,165,57,4,True,Healthy,Available,Coach Ranku,Francistown,Emerging
A0263,Bakang Dube 263,Male,T13,200m,100m,1995-05-29,173,78,1,False,Healthy,Restricted,Coach Motswana,Selebi-Phikwe,Elite
A0264,Katlego Mosinyi 264,Male,T13,200m,1500m,1999-08-13,181,60,7,False,Healthy,Unavailable,Coach Dube,Selebi-Phikwe,Emerging
A0265,Neo Kgamanyane 265,Male,T13,400m,100m,2005-05-07,173,66,4,False,Recovering,Available,Coach Molefe,Molepolole,Emerging
A0266,Kabelo Motsumi 266,Male,T13,200m,100m,2002-12-06,175,67,3,False,Recovering,Available,Coach Motswana,Francistown,Emerging
A0267,Keabetswe Dube 267,Male,T12,400m,100m,1993-09-25,163,53,6,False,Healthy,Monitor,Coach Pule,Molepolole,National
A0268,Mpho Bantsi 268,Male,T13,100m,800m,1992-12-19,172,54,4,False,Recovering,Available,Coach Basinyi,Maun,Emerging
A0269,Kabelo Molefe 269,Male,T13,400m,800m,2007-06-25,181,65,7,False,Healthy,Available,Coach Basinyi,Selebi-Phikwe,National
A0270,Bakang Motsepe 270,Male,T13,200m,1500m,1995-03-17,162,62,1,False,Healthy,Available,Coach Kgamanyane,Molepolole,Elite
A0271,Oarabile Pule 271,Male,T13,400m,100m,1992-10-02,166,63,1,False,Monitoring,Available,Coach Basinyi,Molepolole,Elite
A0272,Karabo Molefe 272,Male,T12,400m,1500m,2003-06-10,178,52,6,False,Recovering,Available,Coach Modise,Francistown,Elite
A0273,Oarabile Mogapi 273,Male,T13,200m,800m,2007-03-10,156,68,6,False,Healthy,Available,Coach Pule,Selebi-Phikwe,National
A0274,Lesego Bantsi 274,Male,T13,200m,800m,2002-09-09,169,66,4,False,Healthy,Available,Coach Basinyi,Selebi-Phikwe,National
A0275,Thato Moroka 275,Male,T13,100m,400m,2006-11-04,174,63,8,False,Healthy,Available,Coach Dube,Maun,Emerging
A0276,Oarabile Mogapi 276,Male,T13,800m,100m,2007-10-04,177,56,5,False,Monitoring,Available,Coach Basinyi,Molepolole,National
A0277,Lebo Mokalake 277,Male,T12,100m,1500m,1994-07-04,171,57,8,False,Monitoring,Monitor,Coach Motswana,Serowe,Emerging
A0278,Lebo Dube 278,Male,T11,100m,1500m,1997-04-30,161,70,6,True,Recovering,Available,Coach Modise,Maun,National
A0279,Kabelo Kgamanyane 279,Male,T11,100m,400m,2004-03-19,175,47,5,True,Healthy,Available,Coach Kgamanyane,Serowe,National
A0280,Karabo Rammidi 280,Male,T12,200m,100m,1998-07-07,162,67,6,False,Healthy,Available,Coach Modise,Maun,Emerging
A0281,Tebogo Mokalake 281,Male,T13,200m,800m,2000-08-22,179,59,3,False,Recovering,Available,Coach Basinyi,Gaborone,National
A0282,Thato Molefe 282,Male,T13,100m,1500m,2003-10-17,169,52,7,False,Monitoring,Restricted,Coach Dube,Gaborone,National
A0283,Karabo Basinyi 283,Male,T13,200m,1500m,1993-06-17,191,69,8,False,Monitoring,Available,Coach Dube,Molepolole,Emerging
A0284,Neo Kgamanyane 284,Male,T12,100m,800m,2002-04-25,178,70,2,False,Healthy,Available,Coach Molefe,Selebi-Phikwe,National
A0285,Kabelo Mosinyi 285,Male,T12,800m,200m,2007-04-10,178,70,4,True,Healthy,Available,Coach Dube,Selebi-Phikwe,National
A0286,Bakang Dube 286,Male,T13,800m,200m,1996-04-07,168,71,9,False,Healthy,Available,Coach Kgamanyane,Selebi-Phikwe,National
A0287,Lesego Rammidi 287,Male,T12,100m,800m,2001-06-04,171,76,1,False,Healthy,Available,Coach Modise,Serowe,National
A0288,Bakang Bantsi 288,Male,T12,100m,400m,2002-05-30,165,60,8,False,Recovering,Available,Coach Basinyi,Francistown,National
A0289,Karabo Motsumi 289,Male,T13,100m,200m,2004-09-01,176,76,6,False,Healthy,Available,Coach Ranku,Maun,National
A0290,Thato Kgamanyane 290,Male,T13,400m,1500m,2008-04-28,172,58,8,False,Healthy,Monitor,Coach Dube,Francistown,National
A0291,Bakang Mosinyi 291,Male,T11,800m,100m,2003-02-24,170,60,3,True,Healthy,Restricted,Coach Motswana,Lobatse,Elite
A0292,Neo Mokalake 292,Male,T13,400m,200m,2008-01-16,186,73,4,False,Recovering,Available,Coach Molefe,Francistown,Emerging
A0293,Mpho Motsumi 293,Male,T12,400m,800m,2001-07-10,181,67,3,False,Healthy,Restricted,Coach Motswana,Gaborone,Elite
A0294,Onkabetse Basinyi 294,Male,T12,100m,800m,1998-12-10,166,75,5,False,Healthy,Available,Coach Pule,Francistown,Elite
A0295,Neo Motsepe 295,Male,T13,200m,400m,1997-01-03,184,70,9,False,Healthy,Available,Coach Motswana,Molepolole,National
A0296,Onkabetse Ranku 296,Male,T12,200m,100m,1996-09-20,170,74,9,True,Recovering,Available,Coach Ranku,Maun,Elite
A0297,Kabelo Mogae 297,Male,T13,800m,200m,1998-10-17,168,71,9,False,Healthy,Available,Coach Ranku,Maun,National
A0298,Neo Mokalake 298,Male,T11,400m,100m,1995-05-31,165,56,5,True,Healthy,Available,Coach Basinyi,Lobatse,National
A0299,Tiro Pule 299,Male,T12,200m,100m,1993-07-22,175,68,9,True,Monitoring,Available,Coach Molefe,Serowe,Elite
A0300,Onkabetse Motsepe 300,Male,T12,100m,200m,2001-04-25,186,62,6,False,Healthy,Available,Coach Motswana,Maun,National
A0301,Onkabetse Rammidi 301,Male,T12,800m,1500m,1994-05-22,171,54,4,True,Healthy,Available,Coach Kgamanyane,Selebi-Phikwe,National
A0302,Keabetswe Mosinyi 302,Male,T12,100m,200m,1996-06-07,156,48,5,False,Monitoring,Available,Coach Motswana,Francistown,National
A0303,Keabetswe Pule 303,Male,T13,100m,200m,2007-09-24,174,54,4,False,Healthy,Available,Coach Motswana,Francistown,National
A0304,Lesego Lelaka 304,Male,T12,400m,100m,1993-11-21,180,77,4,False,Healthy,Available,Coach Dube,Serowe,Emerging
A0305,Neo Rammidi 305,Male,T12,1500m,100m,1995-12-02,168,79,5,False,Healthy,Available,Coach Ranku,Selebi-Phikwe,Emerging
A0306,Onkabetse Lelaka 306,Male,T12,1500m,800m,1995-04-27,172,75,9,False,Healthy,Available,Coach Basinyi,Serowe,Emerging
A0307,Tshepo Kgamanyane 307,Male,T11,100m,800m,1993-07-01,169,73,1,True,Monitoring,Available,Coach Basinyi,Gaborone,Elite
A0308,Mpho Kgamanyane 308,Male,T13,100m,800m,1994-01-26,163,70,6,False,Recovering,Available,Coach Ranku,Molepolole,Elite
A0309,Tiro Dube 309,Male,T11,400m,800m,2008-09-15,167,63,8,True,Recovering,Available,Coach Modise,Serowe,Elite
A0310,Lebo Mokalake 310,Male,T13,400m,100m,1997-08-26,176,66,4,False,Healthy,Available,Coach Ranku,Selebi-Phikwe,Emerging
A0311,Neo Mogae 311,Male,T12,1500m,100m,2006-01-21,170,71,6,False,Monitoring,Available,Coach Molefe,Francistown,National
A0312,Goitseone Ranku 312,Male,T13,100m,1500m,1994-06-25,177,52,8,False,Monitoring,Available,Coach Kgamanyane,Lobatse,National
A0313,Tshepo Molefe 313,Male,T12,100m,1500m,1998-07-21,175,71,6,False,Healthy,Unavailable,Coach Motswana,Molepolole,Elite
A0314,Karabo Ranku 314,Male,T13,800m,100m,2006-01-24,164,68,1,False,Monitoring,Monitor,Coach Motswana,Lobatse,Emerging
A0315,Lesego Molefe 315,Male,T13,200m,400m,2005-09-08,160,77,7,False,Healthy,Available,Coach Pule,Serowe,National
A0316,Onkabetse Motsepe 316,Male,T12,100m,400m,2004-09-04,169,64,5,True,Healthy,Available,Coach Modise,Francistown,Emerging
A0317,Lesego Ranku 317,Male,T11,400m,1500m,1998-08-20,180,63,6,True,Healthy,Available,Coach Modise,Selebi-Phikwe,Emerging
A0318,Tebogo Mogae 318,Male,T12,400m,100m,2007-05-01,175,55,2,False,Recovering,Available,Coach Kgamanyane,Serowe,Emerging
A0319,Lebo Dube 319,Male,T13,400m,100m,2002-10-27,166,52,3,False,Healthy,Restricted,Coach Kgamanyane,Francistown,Podium Track
A0320,Thato Motsumi 320,Male,T13,100m,800m,1997-06-03,169,74,5,False,Recovering,Available,Coach Modise,Molepolole,National
A0321,Mpho Motsepe 321,Male,T12,1500m,400m,1995-08-19,172,72,8,True,Healthy,Monitor,Coach Basinyi,Francistown,National
A0322,Thato Motsumi 322,Male,T11,400m,200m,1993-03-14,162,57,5,True,Monitoring,Monitor,Coach Basinyi,Molepolole,National
A0323,Onkabetse Bantsi 323,Male,T12,1500m,200m,2001-01-15,167,70,2,False,Healthy,Available,Coach Basinyi,Lobatse,National
A0324,Tiro Bantsi 324,Male,T11,1500m,800m,2001-02-26,173,64,3,True,Healthy,Available,Coach Kgamanyane,Serowe,National
A0325,Keabetswe Mogae 325,Male,T13,800m,1500m,1998-03-05,175,63,7,False,Healthy,Available,Coach Modise,Selebi-Phikwe,Elite
A0326,Tumelo Mosinyi 326,Male,T11,800m,100m,2007-08-28,170,76,5,True,Healthy,Available,Coach Basinyi,Maun,National
A0327,Neo Rammidi 327,Male,T13,100m,1500m,2007-12-18,166,66,2,False,Healthy,Available,Coach Motswana,Molepolole,Elite
A0328,Kagiso Motsepe 328,Male,T12,1500m,400m,1999-07-22,183,65,6,False,Healthy,Available,Coach Motswana,Selebi-Phikwe,National
A0329,Lebo Ranku 329,Male,T13,800m,200m,2007-04-18,176,59,2,False,Monitoring,Available,Coach Dube,Serowe,Emerging
A0330,Neo Ranku 330,Male,T12,400m,800m,1994-12-21,186,44,3,False,Healthy,Available,Coach Pule,Selebi-Phikwe,Elite
A0331,Kagiso Mokalake 331,Male,T13,400m,1500m,1994-12-11,161,55,7,False,Recovering,Restricted,Coach Molefe,Serowe,Elite
A0332,Lebo Bantsi 332,Male,T12,800m,400m,1993-10-06,183,68,6,False,Healthy,Available,Coach Molefe,Gaborone,Emerging
A0333,Goitseone Kgamanyane 333,Male,T11,400m,200m,2003-04-16,168,53,1,True,Monitoring,Available,Coach Dube,Gaborone,National
A0334,Keabetswe Basinyi 334,Male,T11,100m,800m,2003-11-26,173,66,4,True,Healthy,Available,Coach Pule,Maun,Podium Track
A0335,Keabetswe Lelaka 335,Male,T11,100m,800m,1993-05-31,165,51,5,True,Healthy,Available,Coach Modise,Lobatse,National
A0336,Lebo Ranku 336,Male,T11,800m,100m,2003-12-03,162,66,6,True,Healthy,Available,Coach Ranku,Selebi-Phikwe,Elite
A0337,Tshepo Ranku 337,Male,T12,400m,1500m,1994-07-05,173,65,7,False,Healthy,Available,Coach Pule,Gaborone,Emerging
A0338,Lebo Lelaka 338,Male,T12,100m,400m,2008-12-11,169,49,5,True,Healthy,Restricted,Coach Dube,Gaborone,Elite
A0339,Katlego Kgamanyane 339,Male,T12,800m,400m,2004-09-05,171,55,6,False,Healthy,Available,Coach Dube,Molepolole,National
A0340,Onkabetse Mogapi 340,Male,T12,100m,1500m,1995-06-14,171,69,6,True,Monitoring,Available,Coach Molefe,Maun,Elite
A0341,Goitseone Mogae 341,Male,T13,1500m,100m,1997-08-20,165,55,9,False,Monitoring,Available,Coach Kgamanyane,Molepolole,National
A0342,Kabelo Kgamanyane 342,Male,T13,1500m,800m,2008-04-11,178,68,7,False,Healthy,Monitor,Coach Modise,Francistown,Elite
A0343,Tshepo Lelaka 343,Male,T11,400m,1500m,1993-12-05,165,42,8,True,Healthy,Available,Coach Molefe,Serowe,Emerging
A0344,Goitseone Molefe 344,Male,T12,800m,1500m,1992-03-01,170,70,4,False,Healthy,Restricted,Coach Modise,Gaborone,Elite
A0345,Kagiso Dube 345,Male,T13,200m,1500m,2004-10-14,179,58,1,False,Monitoring,Available,Coach Pule,Molepolole,Elite
A0346,Tiro Mogae 346,Male,T12,100m,1500m,1997-05-08,165,61,4,True,Healthy,Available,Coach Pule,Molepolole,National
A0347,Tebogo Pule 347,Male,T11,1500m,100m,1993-02-02,177,54,7,True,Healthy,Restricted,Coach Pule,Serowe,Emerging
A0348,Tebogo Ranku 348,Male,T11,100m,200m,1994-04-30,170,56,2,True,Healthy,Available,Coach Motswana,Selebi-Phikwe,National
A0349,Lebo Molefe 349,Male,T11,800m,1500m,1992-01-19,173,51,2,True,Healthy,Available,Coach Molefe,Selebi-Phikwe,Elite
A0350,Keabetswe Rammidi 350,Male,T13,400m,800m,2007-01-16,174,60,1,False,Recovering,Monitor,Coach Dube,Francistown,National
A0351,Lebo Basinyi 351,Male,T11,400m,200m,1994-06-23,169,69,2,True,Recovering,Available,Coach Molefe,Gaborone,National
A0352,Neo Mosinyi 352,Male,T11,100m,800m,1995-04-25,180,49,8,True,Recovering,Available,Coach Basinyi,Serowe,Elite
A0353,Thato Lelaka 353,Male,T11,100m,400m,2002-03-21,179,70,7,True,Recovering,Available,Coach Pule,Serowe,National
A0354,Mpho Lelaka 354,Male,T13,400m,100m,1995-01-11,168,77,7,False,Healthy,Available,Coach Kgamanyane,Lobatse,National
A0355,Lesego Dube 355,Male,T11,200m,800m,2000-07-28,172,76,2,True,Healthy,Available,Coach Ranku,Serowe,Emerging
A0356,Goitseone Bantsi 356,Male,T13,100m,200m,2004-03-14,166,57,6,False,Healthy,Available,Coach Pule,Maun,National
A0357,Mpho Moroka 357,Male,T11,800m,400m,1999-07-23,180,84,6,True,Healthy,Available,Coach Ranku,Francistown,National
A0358,Thato Motsumi 358,Male,T13,400m,1500m,2003-08-21,176,73,2,False,Healthy,Available,Coach Dube,Molepolole,Podium Track
A0359,Lesego Ranku 359,Male,T13,1500m,200m,2005-10-11,167,53,3,False,Healthy,Monitor,Coach Pule,Maun,National
A0360,Lesego Lelaka 360,Male,T11,800m,400m,2006-09-17,169,78,3,True,Healthy,Available,Coach Modise,Maun,National
A0361,Mpho Rammidi 361,Male,T13,400m,100m,1995-03-11,156,60,9,False,Healthy,Monitor,Coach Kgamanyane,Serowe,National
A0362,Karabo Moroka 362,Male,T13,100m,1500m,2007-06-19,155,65,3,False,Monitoring,Unavailable,Coach Molefe,Serowe,National
A0363,Karabo Molefe 363,Male,T12,100m,1500m,1996-09-07,177,53,6,True,Healthy,Available,Coach Dube,Serowe,Elite
A0364,Thato Rammidi 364,Male,T13,100m,800m,1996-01-19,167,76,1,False,Healthy,Available,Coach Dube,Lobatse,National
A0365,Lesego Rammidi 365,Male,T12,100m,200m,1994-12-01,170,53,6,True,Healthy,Available,Coach Motswana,Francistown,Emerging
A0366,Katlego Bantsi 366,Male,T12,100m,200m,1995-09-20,160,46,5,False,Monitoring,Restricted,Coach Dube,Francistown,Elite
A0367,Thato Pule 367,Male,T13,800m,200m,2002-07-31,177,58,5,False,Healthy,Available,Coach Modise,Serowe,National
A0368,Katlego Pule 368,Male,T12,200m,1500m,2007-12-16,179,72,8,False,Healthy,Available,Coach Ranku,Lobatse,Emerging
A0369,Onkabetse Pule 369,Male,T12,100m,400m,2002-07-10,165,60,4,False,Healthy,Available,Coach Molefe,Selebi-Phikwe,Emerging
A0370,Neo Mogae 370,Male,T13,400m,1500m,2001-09-07,177,66,9,False,Healthy,Available,Coach Motswana,Selebi-Phikwe,Emerging
A0371,Goitseone Kgamanyane 371,Male,T11,200m,1500m,2002-05-03,173,50,3,True,Healthy,Monitor,Coach Basinyi,Gaborone,Podium Track
A0372,Thato Bantsi 372,Male,T13,200m,100m,2002-08-26,178,57,8,False,Healthy,Available,Coach Dube,Molepolole,Elite
A0373,Lebo Lelaka 373,Male,T13,400m,100m,1997-04-01,152,59,8,False,Recovering,Available,Coach Basinyi,Francistown,National
A0374,Oarabile Molefe 374,Male,T13,800m,400m,2006-08-06,174,83,3,False,Healthy,Available,Coach Ranku,Molepolole,National
A0375,Mpho Basinyi 375,Male,T11,100m,1500m,1996-04-18,168,53,5,True,Healthy,Available,Coach Molefe,Lobatse,Podium Track
A0376,Kabelo Moroka 376,Male,T11,1500m,200m,2000-05-19,187,66,9,True,Monitoring,Available,Coach Pule,Selebi-Phikwe,Emerging
A0377,Thato Kgamanyane 377,Male,T13,100m,1500m,2008-12-13,168,55,6,False,Healthy,Available,Coach Basinyi,Lobatse,Emerging
A0378,Kabelo Mogapi 378,Male,T13,100m,200m,1997-10-13,162,78,8,False,Monitoring,Available,Coach Modise,Francistown,Emerging
A0379,Lesego Pule 379,Male,T12,100m,1500m,2003-09-17,168,60,3,True,Recovering,Available,Coach Dube,Francistown,Emerging
A0380,Neo Ranku 380,Male,T11,400m,1500m,1997-09-05,166,79,4,True,Healthy,Restricted,Coach Kgamanyane,Molepolole,Elite
A0381,Bakang Mosinyi 381,Male,T11,800m,100m,1998-06-30,166,70,2,True,Healthy,Monitor,Coach Motswana,Serowe,Podium Track
A0382,Tshepo Ranku 382,Male,T11,200m,800m,2006-08-27,173,67,9,True,Recovering,Available,Coach Pule,Lobatse,Elite
A0383,Lebo Mogapi 383,Male,T13,1500m,200m,2005-04-13,163,70,5,False,Recovering,Available,Coach Kgamanyane,Molepolole,National
A0384,Neo Ranku 384,Male,T12,400m,100m,2007-04-22,183,64,8,True,Healthy,Available,Coach Dube,Lobatse,Elite
A0385,Tiro Molefe 385,Male,T13,400m,200m,1999-04-10,163,53,4,False,Monitoring,Available,Coach Pule,Selebi-Phikwe,National
A0386,Bakang Motsepe 386,Male,T13,800m,200m,2007-11-19,172,62,6,False,Monitoring,Available,Coach Basinyi,Francistown,National
A0387,Neo Kgamanyane 387,Male,T13,100m,400m,2005-10-25,170,65,7,False,Healthy,Available,Coach Ranku,Maun,Elite
A0388,Keabetswe Mogapi 388,Male,T12,400m,800m,1992-05-24,159,72,3,False,Monitoring,Available,Coach Kgamanyane,Serowe,Emerging
A0389,Keabetswe Kgamanyane 389,Male,T12,400m,200m,2006-07-20,172,64,5,False,Healthy,Monitor,Coach Ranku,Serowe,National
A0390,Tebogo Kgamanyane 390,Male,T13,400m,1500m,1998-02-09,172,73,1,False,Healthy,Monitor,Coach Motswana,Gaborone,Elite
A0391,Neo Lelaka 391,Male,T11,100m,400m,1994-07-24,171,57,2,True,Healthy,Unavailable,Coach Motswana,Lobatse,Emerging
A0392,Goitseone Rammidi 392,Male,T12,200m,1500m,1999-06-21,180,61,1,False,Healthy,Available,Coach Kgamanyane,Gaborone,Elite
A0393,Mpho Motsumi 393,Male,T13,100m,800m,2003-01-11,165,50,3,False,Healthy,Available,Coach Dube,Serowe,National
A0394,Tshepo Ranku 394,Male,T12,400m,200m,2002-08-06,171,55,2,True,Healthy,Available,Coach Pule,Serowe,National
A0395,Karabo Basinyi 395,Male,T13,100m,200m,2002-08-01,166,69,7,False,Healthy,Available,Coach Pule,Gaborone,Elite
A0396,Karabo Pule 396,Male,T13,200m,800m,1992-09-10,171,74,4,False,Healthy,Available,Coach Kgamanyane,Francistown,Elite
